"Fiscal year","Public Law"
"2000","Pub. L. 106-65"
"2001","Pub. L. 106-398"
"2002","Pub. L. 107-107"
"2003","Pub. L. 107-314"
"2004","Pub. L. 108-136"
"2005","Pub. L. 108-375"
"2006","Pub. L. 109-163"
"2007","Pub. L. 109-364"
"2008","Pub. L. 110-181"
"2009","Pub. L. 110-417"
"2010","Pub. L. 111-84"
"2011","Pub. L. 111-383"
"2012","Pub. L. 112-81"
"2013","Pub. L. 112-239"
"2014","Pub. L. 113-66"
"2015","Pub. L. 113-291"
"2016","Pub. L. 114-92"
"2017","Pub. L. 114-328"
"2018","Pub. L. 115-91"
"2019","Pub. L. 115-232"
"2020","Pub. L. 116-92"
"2021","Pub. L. 116-283"
"2022","Pub. L. 117-81"
"2023","Pub. L. 117-263"
"2024","Pub. L. 118-31"
"2025","Pub. L. 118-159"